UID,iso2,iso3,code3,confirmed_us,confirmed_death_us
84006007,US,USA,840,11993,199
84006009,US,USA,840,2129,54
84006011,US,USA,840,2233,16
84006013,US,USA,840,68689,806
84006015,US,USA,840,1390,8
84006017,US,USA,840,10154,113
84006019,US,USA,840,101755,1682
84006021,US,USA,840,2384,25
84006023,US,USA,840,3984,40
84006025,US,USA,840,28397,722
84006027,US,USA,840,1428,38
84006029,US,USA,840,109101,1373
84006031,US,USA,840,22981,246
84006033,US,USA,840,3471,43
84006035,US,USA,840,5701,24
84006037,US,USA,840,1235999,24030
84006039,US,USA,840,16450,242
84006041,US,USA,840,14054,228
84006043,US,USA,840,447,7
84006045,US,USA,840,4078,49
84006047,US,USA,840,31859,460
84006049,US,USA,840,498,4
84006051,US,USA,840,1284,4
84006053,US,USA,840,43601,383
84006055,US,USA,840,9866,81
84006057,US,USA,840,4739,75
84006059,US,USA,840,270883,5017
84080006,US,USA,840,0,0
84006061,US,USA,840,22635,292
84006063,US,USA,840,710,6
84006065,US,USA,840,299376,4590
84006067,US,USA,840,104610,1678
84006069,US,USA,840,6060,63
84006071,US,USA,840,296700,4707
84006073,US,USA,840,278307,3725
84006075,US,USA,840,36683,543
84006077,US,USA,840,73180,1391
84006079,US,USA,840,21307,260
84006081,US,USA,840,41926,568
84006083,US,USA,840,34328,456
84006085,US,USA,840,118974,2088
84006087,US,USA,840,16246,206
84006089,US,USA,840,12148,226
84006091,US,USA,840,112,0
84006093,US,USA,840,2216,23
84006095,US,USA,840,32880,250
84006097,US,USA,840,30012,318
84006099,US,USA,840,62058,1058
84006101,US,USA,840,9426,111
84006103,US,USA,840,5572,62
84006105,US,USA,840,400,5
84006107,US,USA,840,49613,839
84006109,US,USA,840,4130,66
84090006,US,USA,840,35,0
84006111,US,USA,840,80949,1012
84006113,US,USA,840,13898,209
84006115,US,USA,840,6262,46
84008001,US,USA,840,57906,674
84008003,US,USA,840,1530,31
84008005,US,USA,840,59358,718
84008007,US,USA,840,946,1
84008009,US,USA,840,299,4
84008011,US,USA,840,1531,21
84008013,US,USA,840,23275,232
84008014,US,USA,840,4783,75
84008015,US,USA,840,1659,25
84008017,US,USA,840,128,6
84008019,US,USA,840,446,3
84008021,US,USA,840,568,11
84008023,US,USA,840,215,3
84008025,US,USA,840,2189,15
84008027,US,USA,840,198,1
84008029,US,USA,840,2703,61
84008031,US,USA,840,71793,812
84008033,US,USA,840,85,0
84008035,US,USA,840,28646,237
84008037,US,USA,840,6279,22
84008041,US,USA,840,66538,803
84008039,US,USA,840,1735,13
84008043,US,USA,840,6239,56
84008045,US,USA,840,5825,38
84008047,US,USA,840,237,3
84008049,US,USA,840,1470,6
84008051,US,USA,840,1333,6
84008053,US,USA,840,18,0
84008055,US,USA,840,413,17
84008057,US,USA,840,58,0
84008059,US,USA,840,46500,760
84008061,US,USA,840,95,3
84008063,US,USA,840,616,11
84008067,US,USA,840,3927,39
84008065,US,USA,840,787,0
84008069,US,USA,840,26171,235
84008071,US,USA,840,1129,12
84008073,US,USA,840,1026,4
84008075,US,USA,840,3958,67
84008077,US,USA,840,14807,216
84008079,US,USA,840,89,1
84008081,US,USA,840,780,22
84008083,US,USA,840,1914,24
84008085,US,USA,840,3467,58
84008087,US,USA,840,2643,94
84008089,US,USA,840,2005,66
84008091,US,USA,840,284,3
84080008,US,USA,840,0,0
84008093,US,USA,840,756,5
84008095,US,USA,840,379,13
84008097,US,USA,840,2585,4
84008099,US,USA,840,1234,21
84008101,US,USA,840,18566,388
84008103,US,USA,840,570,4
84008105,US,USA,840,801,14
84008107,US,USA,840,2204,20
84008109,US,USA,840,386,4
84008111,US,USA,840,45,0
84008113,US,USA,840,877,0
84008115,US,USA,840,226,2
84008117,US,USA,840,3702,7
84008119,US,USA,840,1718,15
84090008,US,USA,840,67,0
84008121,US,USA,840,454,12
84008123,US,USA,840,31395,336
84008125,US,USA,840,908,17
84009001,US,USA,840,99238,2175
84009003,US,USA,840,82983,2404
84009005,US,USA,840,14500,294
84009007,US,USA,840,12645,366
84009009,US,USA,840,90949,2092
84009011,US,USA,840,22234,446
84080009,US,USA,840,0,0
84009013,US,USA,840,9469,185
84090009,US,USA,840,1179,1
84009015,US,USA,840,10757,193
84010001,US,USA,840,17722,340
84010003,US,USA,840,62862,815
84080010,US,USA,840,0,0
84010005,US,USA,840,25537,489
84090010,US,USA,840,220,0
84088888,US,USA,840,49,0
84011001,US,USA,840,48282,1113
84080011,US,USA,840,0,0
84090011,US,USA,840,0,0
84012001,US,USA,840,24942,278
84012003,US,USA,840,3503,60
84012005,US,USA,840,20278,390
84012007,US,USA,840,3019,56
84012009,US,USA,840,41841,877
84012011,US,USA,840,240479,2965
84012013,US,USA,840,1695,44
84012015,US,USA,840,12991,424
84012017,US,USA,840,11185,453
84012019,US,USA,840,18772,342
84012021,US,USA,840,36129,536
84012023,US,USA,840,8147,169
84012027,US,USA,840,4350,93
84012029,US,USA,840,1614,24
84012031,US,USA,840,98730,1419
84012033,US,USA,840,36230,692
84012035,US,USA,840,7348,110
84012037,US,USA,840,1330,17
84012039,US,USA,840,5696,99
84012041,US,USA,840,1615,44
84012043,US,USA,840,958,19
84012045,US,USA,840,1968,43
84012047,US,USA,840,1629,25
84012049,US,USA,840,3171,44
84012051,US,USA,840,4750,83
84012053,US,USA,840,14124,468
84012055,US,USA,840,8607,357
84012057,US,USA,840,138598,1747
84012059,US,USA,840,2264,49
84012061,US,USA,840,12584,302
84012063,US,USA,840,6239,157
84012065,US,USA,840,1494,27
84012067,US,USA,840,1620,26
84012069,US,USA,840,29932,638
84012071,US,USA,840,71399,977
84012073,US,USA,840,32167,319
84012075,US,USA,840,3464,54
84012077,US,USA,840,1075,16
84012079,US,USA,840,2070,45
84012081,US,USA,840,38982,678
84012083,US,USA,840,31324,963
84012085,US,USA,840,12398,319
84012086,US,USA,840,491703,6273
84012087,US,USA,840,6998,49
84012089,US,USA,840,8417,125
84012091,US,USA,840,20622,363
84012093,US,USA,840,4036,89
84012095,US,USA,840,139339,1274
84012097,US,USA,840,45071,513
84080012,US,USA,840,0,0
84012099,US,USA,840,145657,2801
84012101,US,USA,840,41776,768
84012103,US,USA,840,80044,1635
84012105,US,USA,840,69261,1337
84012107,US,USA,840,6544,150
84012113,US,USA,840,18266,290
84012115,US,USA,840,32997,825
84012117,US,USA,840,34382,501
84012109,US,USA,840,22769,211
84012111,US,USA,840,26637,640
84012119,US,USA,840,9364,278
84012121,US,USA,840,5342,138
84012123,US,USA,840,2738,47
84090012,US,USA,840,3229,0
84012125,US,USA,840,1831,73
84012127,US,USA,840,43615,808
84012129,US,USA,840,3469,56
84012131,US,USA,840,7811,87
84012133,US,USA,840,2736,52
84013001,US,USA,840,2313,71
84013003,US,USA,840,1027,20
84013005,US,USA,840,1637,36
84013007,US,USA,840,231,9
84013009,US,USA,840,4510,128
84013011,US,USA,840,1825,36
84013013,US,USA,840,9978,138
84013015,US,USA,840,14655,223
84013017,US,USA,840,2086,79
84013019,US,USA,840,1844,44
84013021,US,USA,840,15846,447
84013023,US,USA,840,1452,51
84013025,US,USA,840,1626,37
84013027,US,USA,840,1393,47
84013029,US,USA,840,3637,39
84013031,US,USA,840,6806,114
84013033,US,USA,840,2576,60
84013035,US,USA,840,3137,83
84013037,US,USA,840,585,15
84013039,US,USA,840,3953,36
84013043,US,USA,840,945,66
84013045,US,USA,840,11366,241
84013047,US,USA,840,6388,70
84013049,US,USA,840,1447,33
84013051,US,USA,840,23205,454
84013053,US,USA,840,4007,15
84013055,US,USA,840,2828,71
84013057,US,USA,840,31014,319
84013059,US,USA,840,15042,144
84013061,US,USA,840,238,3
84013063,US,USA,840,26710,479
84013065,US,USA,840,984,26
84013067,US,USA,840,78529,1054
84013069,US,USA,840,5293,170
84013071,US,USA,840,4681,120
84013073,US,USA,840,16893,204
84013075,US,USA,840,1824,43
84013077,US,USA,840,14109,218
84013079,US,USA,840,661,19
84013081,US,USA,840,2089,80
84013083,US,USA,840,1420,14
84013085,US,USA,840,3059,43
84013089,US,USA,840,65929,1007
84013087,US,USA,840,2931,70
84013091,US,USA,840,2103,102
84013093,US,USA,840,1074,46
84013095,US,USA,840,7562,303
84013097,US,USA,840,15229,223
84013099,US,USA,840,1174,49
84013101,US,USA,840,471,9
84013103,US,USA,840,4603,68
84013105,US,USA,840,2284,72
84013107,US,USA,840,2553,81
84013109,US,USA,840,962,29
84013111,US,USA,840,2382,72
84013113,US,USA,840,8974,169
84013115,US,USA,840,11956,227
84013117,US,USA,840,22455,192
84013119,US,USA,840,2658,52
84013121,US,USA,840,97343,1387
84013123,US,USA,840,2966,84
84013125,US,USA,840,264,19
84013127,US,USA,840,8167,173
84013129,US,USA,840,8146,115
84013131,US,USA,840,2166,60
84013133,US,USA,840,1824,64
84013135,US,USA,840,101562,1154
84013137,US,USA,840,5060,162
84013139,US,USA,840,27268,470
84013141,US,USA,840,910,65
84013143,US,USA,840,2638,83
84013145,US,USA,840,2557,59
84013147,US,USA,840,2356,53
84013149,US,USA,840,879,20
84013151,US,USA,840,25269,327
84013153,US,USA,840,14631,255
84013155,US,USA,840,910,29
84013157,US,USA,840,9836,151
84013159,US,USA,840,1402,39
84013161,US,USA,840,1891,44
84013163,US,USA,840,1947,66
84013165,US,USA,840,853,44
84013167,US,USA,840,1117,49
84013169,US,USA,840,2012,57
84013171,US,USA,840,2044,57
84013173,US,USA,840,782,13
84013175,US,USA,840,5565,167
84013177,US,USA,840,2741,58
84013179,US,USA,840,4013,63
84013181,US,USA,840,817,26
84013183,US,USA,840,860,12
84013185,US,USA,840,12696,210
84013187,US,USA,840,2962,72
84013193,US,USA,840,877,31
84013195,US,USA,840,3238,56
84013197,US,USA,840,564,19
84013189,US,USA,840,2496,48
84013191,US,USA,840,862,16
84013199,US,USA,840,2008,85
84013201,US,USA,840,855,13
84013205,US,USA,840,2081,82
84013207,US,USA,840,2641,100
84013209,US,USA,840,890,23
84013211,US,USA,840,2120,30
84013213,US,USA,840,4943,86
84013215,US,USA,840,16389,459
84013217,US,USA,840,11124,242
84013219,US,USA,840,4010,73
84013221,US,USA,840,1476,29
